Unique_Session_ID,Group_ID,Participant_ID,Day_Num,Block,Session_Type,Time_Offset,Dimension,Intensity
001_Day12_EOD,1_EndOfDay_Block_3,1,12,3,EndOfDay,132.5,Anxiety,0.29
003_Day12_EOD,3_EndOfDay_Block_3,3,12,3,EndOfDay,132.5,Anxiety,14.806666666666667
002_Day13_EOD,2_EndOfDay_Block_3,2,13,3,EndOfDay,132.5,Anxiety,13.056666666666667
003_Day13_EOD,3_EndOfDay_Block_3,3,13,3,EndOfDay,132.5,Anxiety,25.258333333333336
001_Day14_EOD,1_EndOfDay_Block_3,1,14,3,EndOfDay,132.5,Anxiety,0.09000000000000001
003_Day14_EOD,3_EndOfDay_Block_3,3,14,3,EndOfDay,132.5,Anxiety,22.71166666666667
003_Day15_EOD,3_EndOfDay_Block_3,3,15,3,EndOfDay,132.5,Anxiety,1.6
002_Day16_EOD,2_EndOfDay_Block_4,2,16,4,EndOfDay,132.5,Anxiety,13.543333333333331
003_Day18_EOD,3_EndOfDay_Block_4,3,18,4,EndOfDay,132.5,Anxiety,1.43
001_Day19_EOD,1_EndOfDay_Block_4,1,19,4,EndOfDay,132.5,Anxiety,2.275
003_Day20_EOD,3_EndOfDay_Block_4,3,20,4,EndOfDay,132.5,Anxiety,0.8483333333333333
003_Day2_EOD,3_EndOfDay_Block_1,3,2,1,EndOfDay,162.5,Anxiety,10.22
003_Day3_EOD,3_EndOfDay_Block_1,3,3,1,EndOfDay,162.5,Anxiety,65.06166666666667
003_Day4_EOD,3_EndOfDay_Block_1,3,4,1,EndOfDay,162.5,Anxiety,25.235
003_Day5_EOD,3_EndOfDay_Block_1,3,5,1,EndOfDay,162.5,Anxiety,10.363333333333333
003_Day6_EOD,3_EndOfDay_Block_2,3,6,2,EndOfDay,162.5,Anxiety,43.458333333333336
002_Day7_EOD,2_EndOfDay_Block_2,2,7,2,EndOfDay,162.5,Anxiety,25.495
003_Day8_EOD,3_EndOfDay_Block_2,3,8,2,EndOfDay,162.5,Anxiety,12.516666666666666
001_Day9_EOD,1_EndOfDay_Block_2,1,9,2,EndOfDay,162.5,Anxiety,1.43
003_Day9_EOD,3_EndOfDay_Block_2,3,9,2,EndOfDay,162.5,Anxiety,11.151666666666666
001_Day10_EOD,1_EndOfDay_Block_2,1,10,2,EndOfDay,162.5,Anxiety,1.95
002_Day10_EOD,2_EndOfDay_Block_2,2,10,2,EndOfDay,162.5,Anxiety,12.845
003_Day10_EOD,3_EndOfDay_Block_2,3,10,2,EndOfDay,162.5,Anxiety,1.305
003_Day11_EOD,3_EndOfDay_Block_3,3,11,3,EndOfDay,162.5,Anxiety,8.979999999999999
001_Day12_EOD,1_EndOfDay_Block_3,1,12,3,EndOfDay,162.5,Anxiety,0.355
003_Day12_EOD,3_EndOfDay_Block_3,3,12,3,EndOfDay,162.5,Anxiety,13.196666666666667
001_Day13_EOD,1_EndOfDay_Block_3,1,13,3,EndOfDay,162.5,Anxiety,1.46
002_Day13_EOD,2_EndOfDay_Block_3,2,13,3,EndOfDay,162.5,Anxiety,19.253333333333334
003_Day13_EOD,3_EndOfDay_Block_3,3,13,3,EndOfDay,162.5,Anxiety,31.375
001_Day14_EOD,1_EndOfDay_Block_3,1,14,3,EndOfDay,162.5,Anxiety,1.1366666666666667
003_Day14_EOD,3_EndOfDay_Block_3,3,14,3,EndOfDay,162.5,Anxiety,27.786666666666665
002_Day15_EOD,2_EndOfDay_Block_3,2,15,3,EndOfDay,162.5,Anxiety,12.45
003_Day15_EOD,3_EndOfDay_Block_3,3,15,3,EndOfDay,162.5,Anxiety,1.6000000000000003
002_Day16_EOD,2_EndOfDay_Block_4,2,16,4,EndOfDay,162.5,Anxiety,13.771666666666667
001_Day18_EOD,1_EndOfDay_Block_4,1,18,4,EndOfDay,162.5,Anxiety,0.4275
002_Day18_EOD,2_EndOfDay_Block_4,2,18,4,EndOfDay,162.5,Anxiety,12.56
003_Day18_EOD,3_EndOfDay_Block_4,3,18,4,EndOfDay,162.5,Anxiety,4.595
001_Day19_EOD,1_EndOfDay_Block_4,1,19,4,EndOfDay,162.5,Anxiety,2.5716666666666668
001_Day20_EOD,1_EndOfDay_Block_4,1,20,4,EndOfDay,162.5,Anxiety,1.79
003_Day20_EOD,3_EndOfDay_Block_4,3,20,4,EndOfDay,162.5,Anxiety,1.7716666666666665
003_Day1_EOD,3_EndOfDay_Block_1,3,1,1,EndOfDay,192.5,Anxiety,1.1533333333333333
003_Day2_EOD,3_EndOfDay_Block_1,3,2,1,EndOfDay,192.5,Anxiety,13.358333333333334
003_Day3_EOD,3_EndOfDay_Block_1,3,3,1,EndOfDay,192.5,Anxiety,74.375
003_Day4_EOD,3_EndOfDay_Block_1,3,4,1,EndOfDay,192.5,Anxiety,25.323333333333334
003_Day5_EOD,3_EndOfDay_Block_1,3,5,1,EndOfDay,192.5,Anxiety,9.905
003_Day6_EOD,3_EndOfDay_Block_2,3,6,2,EndOfDay,192.5,Anxiety,54.693333333333335
002_Day7_EOD,2_EndOfDay_Block_2,2,7,2,EndOfDay,192.5,Anxiety,24.518333333333334
003_Day8_EOD,3_EndOfDay_Block_2,3,8,2,EndOfDay,192.5,Anxiety,13.594999999999999
001_Day9_EOD,1_EndOfDay_Block_2,1,9,2,EndOfDay,192.5,Anxiety,2.8416666666666663
003_Day9_EOD,3_EndOfDay_Block_2,3,9,2,EndOfDay,192.5,Anxiety,13.280000000000001
001_Day10_EOD,1_EndOfDay_Block_2,1,10,2,EndOfDay,192.5,Anxiety,2.7550000000000003
002_Day10_EOD,2_EndOfDay_Block_2,2,10,2,EndOfDay,192.5,Anxiety,12.848333333333334
003_Day10_EOD,3_EndOfDay_Block_2,3,10,2,EndOfDay,192.5,Anxiety,9.645
003_Day11_EOD,3_EndOfDay_Block_3,3,11,3,EndOfDay,192.5,Anxiety,24.948333333333334
001_Day12_EOD,1_EndOfDay_Block_3,1,12,3,EndOfDay,192.5,Anxiety,1.6666666666666667
003_Day12_EOD,3_EndOfDay_Block_3,3,12,3,EndOfDay,192.5,Anxiety,12.958333333333334
001_Day13_EOD,1_EndOfDay_Block_3,1,13,3,EndOfDay,192.5,Anxiety,2.01
002_Day13_EOD,2_EndOfDay_Block_3,2,13,3,EndOfDay,192.5,Anxiety,33.833333333333336
003_Day13_EOD,3_EndOfDay_Block_3,3,13,3,EndOfDay,192.5,Anxiety,32.53
001_Day14_EOD,1_EndOfDay_Block_3,1,14,3,EndOfDay,192.5,Anxiety,4.403333333333333
003_Day14_EOD,3_EndOfDay_Block_3,3,14,3,EndOfDay,192.5,Anxiety,29.82166666666667
002_Day15_EOD,2_EndOfDay_Block_3,2,15,3,EndOfDay,192.5,Anxiety,12.878333333333332
003_Day15_EOD,3_EndOfDay_Block_3,3,15,3,EndOfDay,192.5,Anxiety,3.6566666666666667
002_Day16_EOD,2_EndOfDay_Block_4,2,16,4,EndOfDay,192.5,Anxiety,13.33
002_Day17_EOD,2_EndOfDay_Block_4,2,17,4,EndOfDay,192.5,Anxiety,12.22
001_Day18_EOD,1_EndOfDay_Block_4,1,18,4,EndOfDay,192.5,Anxiety,17.516666666666666
002_Day18_EOD,2_EndOfDay_Block_4,2,18,4,EndOfDay,192.5,Anxiety,12.993333333333334
003_Day18_EOD,3_EndOfDay_Block_4,3,18,4,EndOfDay,192.5,Anxiety,5.580000000000001
001_Day19_EOD,1_EndOfDay_Block_4,1,19,4,EndOfDay,192.5,Anxiety,2.013333333333333
003_Day19_EOD,3_EndOfDay_Block_4,3,19,4,EndOfDay,192.5,Anxiety,0.99
001_Day20_EOD,1_EndOfDay_Block_4,1,20,4,EndOfDay,192.5,Anxiety,2.5366666666666666
003_Day20_EOD,3_EndOfDay_Block_4,3,20,4,EndOfDay,192.5,Anxiety,4.103333333333333
002_Day1_EOD,2_EndOfDay_Block_1,2,1,1,EndOfDay,222.5,Anxiety,26.11
003_Day1_EOD,3_EndOfDay_Block_1,3,1,1,EndOfDay,222.5,Anxiety,19.965
001_Day2_EOD,1_EndOfDay_Block_1,1,2,1,EndOfDay,222.5,Anxiety,1.54
003_Day2_EOD,3_EndOfDay_Block_1,3,2,1,EndOfDay,222.5,Anxiety,14.695
001_Day3_EOD,1_EndOfDay_Block_1,1,3,1,EndOfDay,222.5,Anxiety,1.41
003_Day3_EOD,3_EndOfDay_Block_1,3,3,1,EndOfDay,222.5,Anxiety,79.905
001_Day4_EOD,1_EndOfDay_Block_1,1,4,1,EndOfDay,222.5,Anxiety,0.47
003_Day4_EOD,3_EndOfDay_Block_1,3,4,1,EndOfDay,222.5,Anxiety,21.301666666666666
003_Day5_EOD,3_EndOfDay_Block_1,3,5,1,EndOfDay,222.5,Anxiety,9.741666666666667
001_Day6_EOD,1_EndOfDay_Block_2,1,6,2,EndOfDay,222.5,Anxiety,1.67
003_Day6_EOD,3_EndOfDay_Block_2,3,6,2,EndOfDay,222.5,Anxiety,66.28
002_Day7_EOD,2_EndOfDay_Block_2,2,7,2,EndOfDay,222.5,Anxiety,24.991666666666664
003_Day7_EOD,3_EndOfDay_Block_2,3,7,2,EndOfDay,222.5,Anxiety,1.9100000000000001
003_Day8_EOD,3_EndOfDay_Block_2,3,8,2,EndOfDay,222.5,Anxiety,13.935
001_Day9_EOD,1_EndOfDay_Block_2,1,9,2,EndOfDay,222.5,Anxiety,4.803333333333334
003_Day9_EOD,3_EndOfDay_Block_2,3,9,2,EndOfDay,222.5,Anxiety,15.826666666666668
001_Day10_EOD,1_EndOfDay_Block_2,1,10,2,EndOfDay,222.5,Anxiety,4.525
002_Day10_EOD,2_EndOfDay_Block_2,2,10,2,EndOfDay,222.5,Anxiety,12.798333333333332
003_Day10_EOD,3_EndOfDay_Block_2,3,10,2,EndOfDay,222.5,Anxiety,15.943333333333333
001_Day11_EOD,1_EndOfDay_Block_3,1,11,3,EndOfDay,222.5,Anxiety,0.6033333333333334
003_Day11_EOD,3_EndOfDay_Block_3,3,11,3,EndOfDay,222.5,Anxiety,39.17166666666667
001_Day12_EOD,1_EndOfDay_Block_3,1,12,3,EndOfDay,222.5,Anxiety,2.063333333333333
003_Day12_EOD,3_EndOfDay_Block_3,3,12,3,EndOfDay,222.5,Anxiety,16.746666666666666
001_Day13_EOD,1_EndOfDay_Block_3,1,13,3,EndOfDay,222.5,Anxiety,2.668333333333333
002_Day13_EOD,2_EndOfDay_Block_3,2,13,3,EndOfDay,222.5,Anxiety,25.07166666666667
003_Day13_EOD,3_EndOfDay_Block_3,3,13,3,EndOfDay,222.5,Anxiety,29.511666666666667
001_Day14_EOD,1_EndOfDay_Block_3,1,14,3,EndOfDay,222.5,Anxiety,7.48
003_Day14_EOD,3_EndOfDay_Block_3,3,14,3,EndOfDay,222.5,Anxiety,29.366666666666664
001_Day15_EOD,1_EndOfDay_Block_3,1,15,3,EndOfDay,222.5,Anxiety,1.4
002_Day15_EOD,2_EndOfDay_Block_3,2,15,3,EndOfDay,222.5,Anxiety,13.284999999999998
003_Day15_EOD,3_EndOfDay_Block_3,3,15,3,EndOfDay,222.5,Anxiety,20.873333333333335
001_Day16_EOD,1_EndOfDay_Block_4,1,16,4,EndOfDay,222.5,Anxiety,0.55
002_Day16_EOD,2_EndOfDay_Block_4,2,16,4,EndOfDay,222.5,Anxiety,12.863333333333332
001_Day17_EOD,1_EndOfDay_Block_4,1,17,4,EndOfDay,222.5,Anxiety,0
002_Day17_EOD,2_EndOfDay_Block_4,2,17,4,EndOfDay,222.5,Anxiety,12.786666666666667
001_Day18_EOD,1_EndOfDay_Block_4,1,18,4,EndOfDay,222.5,Anxiety,53.57333333333333
002_Day18_EOD,2_EndOfDay_Block_4,2,18,4,EndOfDay,222.5,Anxiety,13.719999999999999
003_Day18_EOD,3_EndOfDay_Block_4,3,18,4,EndOfDay,222.5,Anxiety,6.245
001_Day19_EOD,1_EndOfDay_Block_4,1,19,4,EndOfDay,222.5,Anxiety,2.2916666666666665
003_Day19_EOD,3_EndOfDay_Block_4,3,19,4,EndOfDay,222.5,Anxiety,5.916666666666667
001_Day20_EOD,1_EndOfDay_Block_4,1,20,4,EndOfDay,222.5,Anxiety,3.106666666666667
003_Day20_EOD,3_EndOfDay_Block_4,3,20,4,EndOfDay,222.5,Anxiety,6.698333333333333
002_Day1_EOD,2_EndOfDay_Block_1,2,1,1,EndOfDay,252.5,Anxiety,26.11
003_Day1_EOD,3_EndOfDay_Block_1,3,1,1,EndOfDay,252.5,Anxiety,40.71333333333333
001_Day2_EOD,1_EndOfDay_Block_1,1,2,1,EndOfDay,252.5,Anxiety,0.5583333333333333
003_Day2_EOD,3_EndOfDay_Block_1,3,2,1,EndOfDay,252.5,Anxiety,15.04
001_Day3_EOD,1_EndOfDay_Block_1,1,3,1,EndOfDay,252.5,Anxiety,0.9316666666666666
003_Day3_EOD,3_EndOfDay_Block_1,3,3,1,EndOfDay,252.5,Anxiety,81.33333333333333
001_Day4_EOD,1_EndOfDay_Block_1,1,4,1,EndOfDay,252.5,Anxiety,2.111666666666667
003_Day4_EOD,3_EndOfDay_Block_1,3,4,1,EndOfDay,252.5,Anxiety,17.003333333333334
003_Day5_EOD,3_EndOfDay_Block_1,3,5,1,EndOfDay,252.5,Anxiety,9.866666666666667
001_Day6_EOD,1_EndOfDay_Block_2,1,6,2,EndOfDay,252.5,Anxiety,1.7449999999999999
002_Day6_EOD,2_EndOfDay_Block_2,2,6,2,EndOfDay,252.5,Anxiety,25.43166666666667
003_Day6_EOD,3_EndOfDay_Block_2,3,6,2,EndOfDay,252.5,Anxiety,76.31166666666667
002_Day7_EOD,2_EndOfDay_Block_2,2,7,2,EndOfDay,252.5,Anxiety,25.588333333333335
003_Day7_EOD,3_EndOfDay_Block_2,3,7,2,EndOfDay,252.5,Anxiety,8.355
003_Day8_EOD,3_EndOfDay_Block_2,3,8,2,EndOfDay,252.5,Anxiety,13.618333333333334
001_Day9_EOD,1_EndOfDay_Block_2,1,9,2,EndOfDay,252.5,Anxiety,5.37
003_Day9_EOD,3_EndOfDay_Block_2,3,9,2,EndOfDay,252.5,Anxiety,27.245
001_Day10_EOD,1_EndOfDay_Block_2,1,10,2,EndOfDay,252.5,Anxiety,4.923333333333333
002_Day10_EOD,2_EndOfDay_Block_2,2,10,2,EndOfDay,252.5,Anxiety,12.748333333333333
003_Day10_EOD,3_EndOfDay_Block_2,3,10,2,EndOfDay,252.5,Anxiety,15.065
001_Day11_EOD,1_EndOfDay_Block_3,1,11,3,EndOfDay,252.5,Anxiety,1.3
002_Day11_EOD,2_EndOfDay_Block_3,2,11,3,EndOfDay,252.5,Anxiety,13.31
003_Day11_EOD,3_EndOfDay_Block_3,3,11,3,EndOfDay,252.5,Anxiety,48.61833333333333
001_Day12_EOD,1_EndOfDay_Block_3,1,12,3,EndOfDay,252.5,Anxiety,1.76
002_Day12_EOD,2_EndOfDay_Block_3,2,12,3,EndOfDay,252.5,Anxiety,12.66
003_Day12_EOD,3_EndOfDay_Block_3,3,12,3,EndOfDay,252.5,Anxiety,20.461666666666666
001_Day13_EOD,1_EndOfDay_Block_3,1,13,3,EndOfDay,252.5,Anxiety,3.0116666666666667
002_Day13_EOD,2_EndOfDay_Block_3,2,13,3,EndOfDay,252.5,Anxiety,15.533333333333333
003_Day13_EOD,3_EndOfDay_Block_3,3,13,3,EndOfDay,252.5,Anxiety,23.598333333333333
001_Day14_EOD,1_EndOfDay_Block_3,1,14,3,EndOfDay,252.5,Anxiety,8.553333333333333
003_Day14_EOD,3_EndOfDay_Block_3,3,14,3,EndOfDay,252.5,Anxiety,27.198333333333334
001_Day15_EOD,1_EndOfDay_Block_3,1,15,3,EndOfDay,252.5,Anxiety,4.361666666666667
002_Day15_EOD,2_EndOfDay_Block_3,2,15,3,EndOfDay,252.5,Anxiety,13.221666666666666
003_Day15_EOD,3_EndOfDay_Block_3,3,15,3,EndOfDay,252.5,Anxiety,38.30166666666667
001_Day16_EOD,1_EndOfDay_Block_4,1,16,4,EndOfDay,252.5,Anxiety,17.585
002_Day16_EOD,2_EndOfDay_Block_4,2,16,4,EndOfDay,252.5,Anxiety,12.780000000000001
001_Day17_EOD,1_EndOfDay_Block_4,1,17,4,EndOfDay,252.5,Anxiety,6.618333333333333
002_Day17_EOD,2_EndOfDay_Block_4,2,17,4,EndOfDay,252.5,Anxiety,13.205
003_Day17_EOD,3_EndOfDay_Block_4,3,17,4,EndOfDay,252.5,Anxiety,0.65
001_Day18_EOD,1_EndOfDay_Block_4,1,18,4,EndOfDay,252.5,Anxiety,63.30500000000001
002_Day18_EOD,2_EndOfDay_Block_4,2,18,4,EndOfDay,252.5,Anxiety,14.36
003_Day18_EOD,3_EndOfDay_Block_4,3,18,4,EndOfDay,252.5,Anxiety,7.031666666666666
001_Day19_EOD,1_EndOfDay_Block_4,1,19,4,EndOfDay,252.5,Anxiety,10.251666666666667
003_Day19_EOD,3_EndOfDay_Block_4,3,19,4,EndOfDay,252.5,Anxiety,7.57
001_Day20_EOD,1_EndOfDay_Block_4,1,20,4,EndOfDay,252.5,Anxiety,3.248333333333333
003_Day20_EOD,3_EndOfDay_Block_4,3,20,4,EndOfDay,252.5,Anxiety,9.393333333333333
001_Day1_EOD,1_EndOfDay_Block_1,1,1,1,EndOfDay,282.5,Anxiety,0.51
002_Day1_EOD,2_EndOfDay_Block_1,2,1,1,EndOfDay,282.5,Anxiety,26.075
003_Day1_EOD,3_EndOfDay_Block_1,3,1,1,EndOfDay,282.5,Anxiety,51.373333333333335
001_Day2_EOD,1_EndOfDay_Block_1,1,2,1,EndOfDay,282.5,Anxiety,0.33666666666666667
002_Day2_EOD,2_EndOfDay_Block_1,2,2,1,EndOfDay,282.5,Anxiety,38.77
003_Day2_EOD,3_EndOfDay_Block_1,3,2,1,EndOfDay,282.5,Anxiety,15.64
001_Day3_EOD,1_EndOfDay_Block_1,1,3,1,EndOfDay,282.5,Anxiety,0.9333333333333332
002_Day3_EOD,2_EndOfDay_Block_1,2,3,1,EndOfDay,282.5,Anxiety,10.77
003_Day3_EOD,3_EndOfDay_Block_1,3,3,1,EndOfDay,282.5,Anxiety,75.75
001_Day4_EOD,1_EndOfDay_Block_1,1,4,1,EndOfDay,282.5,Anxiety,2.355
002_Day4_EOD,2_EndOfDay_Block_1,2,4,1,EndOfDay,282.5,Anxiety,25.91
003_Day4_EOD,3_EndOfDay_Block_1,3,4,1,EndOfDay,282.5,Anxiety,14.753333333333332
001_Day5_EOD,1_EndOfDay_Block_1,1,5,1,EndOfDay,282.5,Anxiety,0.04666666666666667
002_Day5_EOD,2_EndOfDay_Block_1,2,5,1,EndOfDay,282.5,Anxiety,12.27
003_Day5_EOD,3_EndOfDay_Block_1,3,5,1,EndOfDay,282.5,Anxiety,11.160000000000002
001_Day6_EOD,1_EndOfDay_Block_2,1,6,2,EndOfDay,282.5,Anxiety,2.0966666666666667
002_Day6_EOD,2_EndOfDay_Block_2,2,6,2,EndOfDay,282.5,Anxiety,25.8
003_Day6_EOD,3_EndOfDay_Block_2,3,6,2,EndOfDay,282.5,Anxiety,85.495
001_Day7_EOD,1_EndOfDay_Block_2,1,7,2,EndOfDay,282.5,Anxiety,1.44
002_Day7_EOD,2_EndOfDay_Block_2,2,7,2,EndOfDay,282.5,Anxiety,25.705
003_Day7_EOD,3_EndOfDay_Block_2,3,7,2,EndOfDay,282.5,Anxiety,13.241666666666665
001_Day8_EOD,1_EndOfDay_Block_2,1,8,2,EndOfDay,282.5,Anxiety,0.6733333333333333
003_Day8_EOD,3_EndOfDay_Block_2,3,8,2,EndOfDay,282.5,Anxiety,12.868333333333332
001_Day9_EOD,1_EndOfDay_Block_2,1,9,2,EndOfDay,282.5,Anxiety,4.87
003_Day9_EOD,3_EndOfDay_Block_2,3,9,2,EndOfDay,282.5,Anxiety,43
001_Day10_EOD,1_EndOfDay_Block_2,1,10,2,EndOfDay,282.5,Anxiety,4.6433333333333335
002_Day10_EOD,2_EndOfDay_Block_2,2,10,2,EndOfDay,282.5,Anxiety,12.698333333333332
003_Day10_EOD,3_EndOfDay_Block_2,3,10,2,EndOfDay,282.5,Anxiety,11.288333333333334
001_Day11_EOD,1_EndOfDay_Block_3,1,11,3,EndOfDay,282.5,Anxiety,0.8266666666666667
002_Day11_EOD,2_EndOfDay_Block_3,2,11,3,EndOfDay,282.5,Anxiety,13.263333333333334
003_Day11_EOD,3_EndOfDay_Block_3,3,11,3,EndOfDay,282.5,Anxiety,54.94166666666666
001_Day12_EOD,1_EndOfDay_Block_3,1,12,3,EndOfDay,282.5,Anxiety,1.205
002_Day12_EOD,2_EndOfDay_Block_3,2,12,3,EndOfDay,282.5,Anxiety,12.643333333333333
003_Day12_EOD,3_EndOfDay_Block_3,3,12,3,EndOfDay,282.5,Anxiety,22.26833333333333
001_Day13_EOD,1_EndOfDay_Block_3,1,13,3,EndOfDay,282.5,Anxiety,3.35
002_Day13_EOD,2_EndOfDay_Block_3,2,13,3,EndOfDay,282.5,Anxiety,14.328333333333333
003_Day13_EOD,3_EndOfDay_Block_3,3,13,3,EndOfDay,282.5,Anxiety,14.328333333333333
001_Day14_EOD,1_EndOfDay_Block_3,1,14,3,EndOfDay,282.5,Anxiety,8.291666666666666
003_Day14_EOD,3_EndOfDay_Block_3,3,14,3,EndOfDay,282.5,Anxiety,24.191666666666666
001_Day15_EOD,1_EndOfDay_Block_3,1,15,3,EndOfDay,282.5,Anxiety,14.525
002_Day15_EOD,2_EndOfDay_Block_3,2,15,3,EndOfDay,282.5,Anxiety,13.046666666666667
003_Day15_EOD,3_EndOfDay_Block_3,3,15,3,EndOfDay,282.5,Anxiety,43.318333333333335
001_Day16_EOD,1_EndOfDay_Block_4,1,16,4,EndOfDay,282.5,Anxiety,40.42333333333333
002_Day16_EOD,2_EndOfDay_Block_4,2,16,4,EndOfDay,282.5,Anxiety,12.815
003_Day16_EOD,3_EndOfDay_Block_4,3,16,4,EndOfDay,282.5,Anxiety,2.944
001_Day17_EOD,1_EndOfDay_Block_4,1,17,4,EndOfDay,282.5,Anxiety,15.275
002_Day17_EOD,2_EndOfDay_Block_4,2,17,4,EndOfDay,282.5,Anxiety,13.543333333333331
003_Day17_EOD,3_EndOfDay_Block_4,3,17,4,EndOfDay,282.5,Anxiety,8.898333333333333
001_Day18_EOD,1_EndOfDay_Block_4,1,18,4,EndOfDay,282.5,Anxiety,67.32000000000001
002_Day18_EOD,2_EndOfDay_Block_4,2,18,4,EndOfDay,282.5,Anxiety,14.6
003_Day18_EOD,3_EndOfDay_Block_4,3,18,4,EndOfDay,282.5,Anxiety,7.946666666666666
001_Day19_EOD,1_EndOfDay_Block_4,1,19,4,EndOfDay,282.5,Anxiety,28.31833333333333
002_Day19_EOD,2_EndOfDay_Block_4,2,19,4,EndOfDay,282.5,Anxiety,37.41
003_Day19_EOD,3_EndOfDay_Block_4,3,19,4,EndOfDay,282.5,Anxiety,8.238333333333333
001_Day20_EOD,1_EndOfDay_Block_4,1,20,4,EndOfDay,282.5,Anxiety,3.26
003_Day20_EOD,3_EndOfDay_Block_4,3,20,4,EndOfDay,282.5,Anxiety,12.741666666666667
001_Day1_EOD,1_EndOfDay_Block_1,1,1,1,EndOfDay,312.5,Anxiety,23.33
002_Day1_EOD,2_EndOfDay_Block_1,2,1,1,EndOfDay,312.5,Anxiety,25.593333333333334
003_Day1_EOD,3_EndOfDay_Block_1,3,1,1,EndOfDay,312.5,Anxiety,58.208333333333336
